% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.026	1	2	3	7	1	0	26	0
0.026	1	3	3	7	2	0	26	0
0.026	1	1	3	7	3	0	26	0
0.026	1	2	3	7	1	0	26	1
0.026	1	3	3	7	2	0	26	1
0.026	1	1	3	7	3	0	26	1
0.026	1	2	3	7	1	0	26	2
0.026	1	3	3	7	2	0	26	2
0.026	1	1	3	7	3	0	26	2
0.027	1	2	3	8	1	0	26	0
0.027	1	3	3	8	2	0	26	0
0.027	1	1	3	8	3	0	26	0
0.027	1	2	3	8	1	0	26	1
0.027	1	3	3	8	2	0	26	1
0.027	1	1	3	8	3	0	26	1
0.027	1	2	3	8	1	0	26	2
0.027	1	3	3	8	2	0	26	2
0.027	1	1	3	8	3	0	26	2
0.028	1	2	3	9	1	0	26	0
0.028	1	3	3	9	2	0	26	0
0.028	1	1	3	9	3	0	26	0
0.028	1	2	3	9	1	0	26	1
0.028	1	3	3	9	2	0	26	1
0.028	1	1	3	9	3	0	26	1
0.028	1	2	3	9	1	0	26	2
0.028	1	3	3	9	2	0	26	2
0.028	1	1	3	9	3	0	26	2
0.029	1	2	3	10	1	0	26	0
0.029	1	3	3	10	2	0	26	0
0.029	1	1	3	10	3	0	26	0
0.029	1	2	3	10	1	0	26	1
0.029	1	3	3	10	2	0	26	1
0.029	1	1	3	10	3	0	26	1
0.029	1	2	3	10	1	0	26	2
0.029	1	3	3	10	2	0	26	2
0.029	1	1	3	10	3	0	26	2
0.03	1	2	4	1	1	0	26	0
0.03	1	3	4	1	2	0	26	0
0.03	1	1	4	1	3	0	26	0
0.03	1	2	4	1	1	0	26	1
0.03	1	3	4	1	2	0	26	1
0.03	1	1	4	1	3	0	26	1
0.03	1	2	4	1	1	0	26	2
0.03	1	3	4	1	2	0	26	2
0.03	1	1	4	1	3	0	26	2
0.031	1	2	4	2	1	0	26	0
0.031	1	3	4	2	2	0	26	0
0.031	1	1	4	2	3	0	26	0
0.031	1	2	4	2	1	0	26	1
0.031	1	3	4	2	2	0	26	1
0.031	1	1	4	2	3	0	26	1
0.031	1	2	4	2	1	0	26	2
0.031	1	3	4	2	2	0	26	2
0.031	1	1	4	2	3	0	26	2
0.032	1	2	4	3	1	0	26	0
0.032	1	3	4	3	2	0	26	0
0.032	1	1	4	3	3	0	26	0
0.032	1	2	4	3	1	0	26	1
0.032	1	3	4	3	2	0	26	1
0.032	1	1	4	3	3	0	26	1
0.032	1	2	4	3	1	0	26	2
0.032	1	3	4	3	2	0	26	2
0.032	1	1	4	3	3	0	26	2
0.033	1	2	4	4	1	28	749	0
0.033	1	3	4	4	2	28	749	0
0.033	1	1	4	4	3	28	749	0
0.033	1	2	4	4	1	0	26	1
0.033	1	3	4	4	2	0	26	1
0.033	1	1	4	4	3	0	26	1
0.033	1	2	4	4	1	0	26	2
0.033	1	3	4	4	2	0	26	2
0.033	1	1	4	4	3	0	26	2
0.034	1	2	4	5	1	28	749	0
0.034	1	3	4	5	2	28	749	0
0.034	1	1	4	5	3	28	749	0
0.034	1	2	4	5	1	0	26	1
0.034	1	3	4	5	2	0	26	1
0.034	1	1	4	5	3	0	26	1
0.034	1	2	4	5	1	0	26	2
0.034	1	3	4	5	2	0	26	2
0.034	1	1	4	5	3	0	26	2
0.035	1	2	4	6	1	28	749	0
0.035	1	3	4	6	2	28	749	0
0.035	1	1	4	6	3	28	749	0
0.035	1	2	4	6	1	0	26	1
0.035	1	3	4	6	2	0	26	1
0.035	1	1	4	6	3	0	26	1
0.035	1	2	4	6	1	0	26	2
0.035	1	3	4	6	2	0	26	2
0.035	1	1	4	6	3	0	26	2
0.036	1	2	4	7	1	28	749	0
0.036	1	3	4	7	2	28	749	0
0.036	1	1	4	7	3	28	749	0
0.036	1	2	4	7	1	0	26	1
0.036	1	3	4	7	2	0	26	1
0.036	1	1	4	7	3	0	26	1
0.036	1	2	4	7	1	0	26	2
0.036	1	3	4	7	2	0	26	2
0.036	1	1	4	7	3	0	26	2
0.037	1	2	4	8	1	28	749	0
0.037	1	3	4	8	2	28	749	0
0.037	1	1	4	8	3	28	749	0
0.037	1	2	4	8	1	0	26	1
0.037	1	3	4	8	2	0	26	1
0.037	1	1	4	8	3	0	26	1
