% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	2	1	1.76517e+06	0
0.041	2	2	1	1.76517e+06	1
0.041	3	2	1	1.76517e+06	2
0.042	1	3	2	1.76517e+06	0
0.042	2	3	2	1.76517e+06	1
0.042	3	3	2	1.76517e+06	2
0.043	1	1	3	1.76517e+06	0
0.043	2	1	3	1.76517e+06	1
0.043	3	1	3	1.76517e+06	2
0.081	1	2	1	1.76517e+06	0
0.081	2	2	1	1.76517e+06	1
0.081	3	2	1	1.76517e+06	2
0.082	1	3	2	1.76517e+06	0
0.082	2	3	2	1.76517e+06	1
0.082	3	3	2	1.76517e+06	2
0.083	1	1	3	1.76517e+06	0
0.083	2	1	3	1.76517e+06	1
0.083	3	1	3	1.76517e+06	2
0.121	1	2	1	1.76517e+06	0
0.121	2	2	1	1.76517e+06	1
0.121	3	2	1	1.76517e+06	2
0.122	1	3	2	1.76517e+06	0
0.122	2	3	2	1.76517e+06	1
0.122	3	3	2	1.76517e+06	2
0.123	1	1	3	1.76517e+06	0
0.123	2	1	3	1.76517e+06	1
0.123	3	1	3	1.76517e+06	2
0.161	1	2	1	1.76517e+06	0
0.161	2	2	1	1.76517e+06	1
0.161	3	2	1	1.76517e+06	2
0.162	1	3	2	1.76517e+06	0
0.162	2	3	2	1.76517e+06	1
0.162	3	3	2	1.76517e+06	2
0.163	1	1	3	1.76517e+06	0
0.163	2	1	3	1.76517e+06	1
0.163	3	1	3	1.76517e+06	2
