% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
32	1	1	3	0	0	26	0	1	0
32	1	2	1	0	0	26	0	1	0
32	1	3	2	0	0	26	0	1	0
32	2	2	1	0	0	26	0	1	1
32	2	3	2	0	0	26	0	1	1
32	2	1	3	0	0	26	0	1	1
32	3	2	1	0	0	26	0	1	2
32	3	3	2	0	0	26	0	1	2
32	3	1	3	0	0	26	0	1	2
33	1	1	3	0	0	26	0	1	0
33	1	2	1	0	0	26	0	1	0
33	1	3	2	0	0	26	0	1	0
33	2	2	1	0	0	26	0	1	1
33	2	3	2	0	0	26	0	1	1
33	2	1	3	0	0	26	0	1	1
33	3	2	1	0	0	26	0	1	2
33	3	3	2	0	0	26	0	1	2
33	3	1	3	0	0	26	0	1	2
34	1	1	3	0	0	26	0	1	0
34	1	2	1	0	0	26	0	1	0
34	1	3	2	0	0	26	0	1	0
34	2	2	1	0	0	26	0	1	1
34	2	3	2	0	0	26	0	1	1
34	2	1	3	0	0	26	0	1	1
34	3	2	1	0	0	26	0	1	2
34	3	3	2	0	0	26	0	1	2
34	3	1	3	0	0	26	0	1	2
35	1	1	3	0	0	26	0	1	0
35	1	2	1	0	0	26	0	1	0
35	1	3	2	0	0	26	0	1	0
35	2	2	1	0	0	26	0	1	1
35	2	3	2	0	0	26	0	1	1
35	2	1	3	0	0	26	0	1	1
35	3	2	1	0	0	26	0	1	2
35	3	3	2	0	0	26	0	1	2
35	3	1	3	0	0	26	0	1	2
36	1	1	3	0	0	26	0	1	0
36	1	2	1	0	0	26	0	1	0
36	1	3	2	0	0	26	0	1	0
36	2	2	1	0	0	26	0	1	1
36	2	3	2	0	0	26	0	1	1
36	2	1	3	0	0	26	0	1	1
36	3	2	1	0	0	26	0	1	2
36	3	3	2	0	0	26	0	1	2
36	3	1	3	0	0	26	0	1	2
37	1	1	3	0	0	26	0	1	0
37	1	2	1	0	0	26	0	1	0
37	1	3	2	0	0	26	0	1	0
37	2	2	1	0	0	26	0	1	1
37	2	3	2	0	0	26	0	1	1
37	2	1	3	0	0	26	0	1	1
37	3	2	1	0	0	26	0	1	2
37	3	3	2	0	0	26	0	1	2
37	3	1	3	0	0	26	0	1	2
38	1	1	3	0	0	26	0	1	0
38	1	2	1	0	0	26	0	1	0
38	1	3	2	0	0	26	0	1	0
38	2	2	1	0	0	26	0	1	1
38	2	3	2	0	0	26	0	1	1
38	2	1	3	0	0	26	0	1	1
38	3	2	1	0	0	26	0	1	2
38	3	3	2	0	0	26	0	1	2
38	3	1	3	0	0	26	0	1	2
39	1	1	3	0	28	749	0	1	0
39	1	2	1	0	28	749	0	1	0
39	1	3	2	0	28	749	0	1	0
39	2	2	1	0	0	26	0	1	1
39	2	3	2	0	0	26	0	1	1
39	2	1	3	0	0	26	0	1	1
39	3	2	1	0	0	26	0	1	2
39	3	3	2	0	0	26	0	1	2
39	3	1	3	0	0	26	0	1	2
40	1	1	3	0	28	749	0	1	0
40	1	2	1	0	28	749	0	1	0
40	1	3	2	0	28	749	0	1	0
40	2	2	1	0	0	26	0	1	1
40	2	3	2	0	0	26	0	1	1
40	2	1	3	0	0	26	0	1	1
